Folder,File,Created,Modified
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,0.wav,2023-06-21 09:33:37.898948,2023-06-21 09:33:37.903955
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,1.wav,2023-06-21 09:34:22.240156,2023-06-21 09:34:22.243181
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,2.wav,2023-06-21 09:35:16.148984,2023-06-21 09:35:16.153666
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,3.wav,2023-06-21 09:36:22.744200,2023-06-21 09:36:22.749272
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,4.wav,2023-06-21 09:37:34.668358,2023-06-21 09:37:34.673357
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,5.wav,2023-06-21 09:38:26.759330,2023-06-21 09:38:26.766832
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,6.wav,2023-06-21 09:39:22.770079,2023-06-21 09:39:22.775079
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,7.wav,2023-06-21 09:40:21.271697,2023-06-21 09:40:21.277744
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,8.wav,2023-06-21 09:41:28.631669,2023-06-21 09:41:28.637174
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,9.wav,2023-06-21 09:42:20.185740,2023-06-21 09:42:20.189740
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,10.wav,2023-06-21 09:43:22.497315,2023-06-21 09:43:22.502317
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,11.wav,2023-06-21 09:44:18.091162,2023-06-21 09:44:18.095162
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,12.wav,2023-06-21 09:45:29.455421,2023-06-21 09:45:29.462421
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,13.wav,2023-06-21 09:46:20.067804,2023-06-21 09:46:20.071803
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,14.wav,2023-06-21 09:47:13.409212,2023-06-21 09:47:13.416261
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,15.wav,2023-06-21 09:48:19.837563,2023-06-21 09:48:19.843562
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,16.wav,2023-06-21 09:49:18.287272,2023-06-21 09:49:18.294305
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,17.wav,2023-06-21 09:50:05.937833,2023-06-21 09:50:05.941833
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,18.wav,2023-06-21 09:51:05.984413,2023-06-21 09:51:05.989411
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,19.wav,2023-06-21 09:52:10.599004,2023-06-21 09:52:10.603501
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,20.wav,2023-06-21 09:53:05.987913,2023-06-21 09:53:05.991383
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,21.wav,2023-06-21 09:54:14.792519,2023-06-21 09:54:14.798518
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,22.wav,2023-06-21 09:55:14.660964,2023-06-21 09:55:14.665963
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,23.wav,2023-06-21 09:56:02.763416,2023-06-21 09:56:02.767473
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,24.wav,2023-06-21 09:57:05.405953,2023-06-21 09:57:05.410954
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,25.wav,2023-06-21 09:57:56.598696,2023-06-21 09:57:56.602695
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,26.wav,2023-06-21 09:58:55.945648,2023-06-21 09:58:55.950786
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,27.wav,2023-06-21 09:59:43.949409,2023-06-21 09:59:43.954917
D:\Github\Text-to-MP4\Output\Chilord - Wind Shear____Chapter 10_ Chapter 10\stephenfry,28.wav,2023-06-21 10:00:46.632178,2023-06-21 10:00:46.637180
